catalog,category,weight,tp,mrp_old,final_mrp_old,ajio_mrp,amazon_mrp,amazon_fba_mrp
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
Moments,Kurta,0.3,538,2178,2295,2295,2295,2295
