catalog,category,weight
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Moments,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
Colors-8,Kurta,0.3
