sku_code,design_no.,stock,category,size,color,qty,amount
AN201-RED-L,AN201,5.0,AN : LEGGINGS,L,Red,1,139.96
AN201-RED-M,AN201,5.0,AN : LEGGINGS,M,Red,1,123.35
AN201-RED-S,AN201,3.0,AN : LEGGINGS,S,Red,1,297.47
AN201-RED-XL,AN201,6.0,AN : LEGGINGS,XL,Red,1,78.5
AN201-RED-XXL,AN201,3.0,AN : LEGGINGS,XXL,Red,1,290.22
AN202-ORANGE-L,AN202,11.0,AN : LEGGINGS,L,Orange,1,14.08
AN202-ORANGE-M,AN202,3.0,AN : LEGGINGS,M,Orange,1,72.09
AN202-ORANGE-S,AN202,16.0,AN : LEGGINGS,S,Orange,1,84.71
AN202-ORANGE-XL,AN202,8.0,AN : LEGGINGS,XL,Orange,1,22.39
AN202-ORANGE-XXL,AN202,14.0,AN : LEGGINGS,XXL,Orange,1,143.67
AN203-MAROON-L,AN203,1.0,AN : LEGGINGS,L,Maroon,1,362.56
AN203-MAROON-M,AN203,2.0,AN : LEGGINGS,M,Maroon,1,180.74
AN203-MAROON-S,AN203,2.0,AN : LEGGINGS,S,Maroon,1,176.69
AN203-MAROON-XL,AN203,2.0,AN : LEGGINGS,XL,Maroon,1,141.14
AN203-MAROON-XXL,AN203,3.0,AN : LEGGINGS,XXL,Maroon,1,92.87
AN204-PURPLE-L,AN204,10.0,AN : LEGGINGS,L,Purple,1,258.36
AN204-PURPLE-M,AN204,4.0,AN : LEGGINGS,M,Purple,1,271.24
AN204-PURPLE-S,AN204,6.0,AN : LEGGINGS,S,Purple,1,41.79
AN204-PURPLE-XL,AN204,3.0,AN : LEGGINGS,XL,Purple,1,63.44
AN204-PURPLE-XXL,AN204,5.0,AN : LEGGINGS,XXL,Purple,1,136.44
AN205-YELLOW-L,AN205,9.0,AN : LEGGINGS,L,Yellow,1,453.4
AN205-YELLOW-M,AN205,7.0,AN : LEGGINGS,M,Yellow,1,253.83
AN205-YELLOW-S,AN205,6.0,AN : LEGGINGS,S,Yellow,1,398.14
AN205-YELLOW-XL,AN205,7.0,AN : LEGGINGS,XL,Yellow,1,98.43
AN205-YELLOW-XXL,AN205,13.0,AN : LEGGINGS,XXL,Yellow,1,241.26
AN206-GREEN-L,AN206,10.0,AN : LEGGINGS,L,Green,1,434.17
AN206-GREEN-M,AN206,13.0,AN : LEGGINGS,M,Green,1,36.76
AN206-GREEN-S,AN206,13.0,AN : LEGGINGS,S,Green,1,233.08
